id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count
12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,214,2019.7.5,1.81,4
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,Private room,68,2,245,2019.6.21,2.08,2
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,2019.5.27,0.39,1
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,Private room,120,7,25,2018.9.30,0.23,1
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,Private room,135,4,81,2019.6.16,0.69,1
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,2019.6.13,0.84,1
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,2019.6.5,0.49,1
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,Private room,130,3,248,2019.7.1,2.25,1
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,2019.5.25,0.52,1
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,2017.1.1,0.1,1
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,Private room,80,3,135,2019.6.17,1.16,2
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,2019.6.16,1.01,3
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,2019.7.7,0.63,1
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,2019.5.17,0.7,1
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2019.6.29,2.82,1
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,2019.3.25,0.22,1
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,Entire home/apt,150,30,105,2019.6.22,0.9,1
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,Private room,110,5,19,2019.5.18,0.17,1
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,2019.6.9,2.49,2
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,49,4,138,2019.6.4,1.19,3
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,Entire home/apt,180,30,21,2019.6.29,0.3,1
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,Private room,80,2,42,2019.6.30,0.38,1
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,Entire home/apt,375,180,5,2018.11.3,0.12,1
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,2019.3.30,0.57,2
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,2019.1.26,1.33,2
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,Private room,55,7,27,2017.9.30,0.23,2
16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,Private room,52,30,191,2019.5.16,1.65,1
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,Entire home/apt,225,3,4,2017.9.24,0.16,1
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,Private room,80,1,338,2019.7.1,4.72,2
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,2019.6.23,1.4,1
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,Private room,99,1,106,2019.6.21,1.26,2
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,2019.6.23,1.64,1
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,Entire home/apt,230,9,49,2018.5.14,0.43,1
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,Private room,51,7,23,2019.6.1,0.43,1
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,Private room,65,2,49,2019.6.18,1.6,2
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,Private room,105,2,105,2019.6.26,0.92,1
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,2019.1.2,0.2,1
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,Private room,200,1,142,2019.7.6,1.5,1
18198,Little King of Queens,70091,Justin,Queens,Woodside,Private room,70,30,25,2019.5.31,0.22,1
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,Private room,95,3,143,2019.6.16,1.28,1
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,Private room,150,3,167,2019.5.28,1.65,1
18764,Cozy 2 BR in Williamsburg ,72014,Lul̼,Brooklyn,Williamsburg,Private room,145,3,61,2019.4.22,0.54,4
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,Entire home/apt,110,31,54,2019.3.23,0.49,1
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,2019.6.30,0.62,1
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,2019.6.15,0.15,1
19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,Private room,94,30,94,2019.4.8,0.84,1
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,2016.8.4,0.24,1
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,2018.8.9,0.53,1
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,Private room,60,3,194,2019.6.30,1.73,1
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,Private room,50,1,2,2016.2.14,0.05,1
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lul̼,Brooklyn,Williamsburg,Private room,85,3,174,2019.6.22,1.54,4
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,Private room,65,4,24,2019.5.26,0.28,1
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,2019.6.27,3.4,1
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,98,7,16,2019.5.31,0.2,6
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,2019.5.21,0.3,1
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,Entire home/apt,100,5,168,2018.7.22,1.57,1
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,2019.6.18,1.05,2
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,2019.7.7,0.71,1
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,Private room,89,1,1,2018.10.9,0.11,1
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,Private room,98,30,30,2019.5.1,0.27,2
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,2018.10.28,1.23,2
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,2019.1.3,0.87,3
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,2019.6.24,2.09,3
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,Private room,65,2,68,2012.11.1,0.6,1
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,Entire home/apt,500,4,46,2019.5.18,0.55,2
24143,"Williamsburg_teps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,Private room,101,3,335,2019.5.29,3.02,1
24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,Entire home/apt,220,30,88,2018.11.2,0.79,1
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,2019.6.28,1.46,2
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,Entire home/apt,80,30,29,2018.5.26,0.4,1
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,Private room,100,2,170,2019.6.23,1.61,1
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,Entire home/apt,200,30,19,2017.3.17,0.2,1
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,Private room,59,2,334,2019.6.16,3,2
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,Private room,125,2,19,2019.6.2,0.2,6
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,Entire home/apt,140,7,12,2017.12.11,0.13,1
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,Entire home/apt,120,30,467,2018.12.30,4.22,2
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,Entire home/apt,350,2,7,2017.8.9,0.06,4
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,2015.12.2,0.38,1
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,2019.6.23,3.01,1
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,2019.4.27,0.27,1
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,2019.6.7,1.05,4
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,Private room,99,2,354,2019.5.20,3.2,3
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,2019.7.1,2.03,1
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,2018.12.30,0.24,2
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,2019.6.26,0.12,1
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,Entire home/apt,100,4,25,2011.12.10,0.23,1
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,2018.10.5,0.08,1
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,Private room,90,1,9,2011.9.18,0.08,1
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,2017.8.15,0.19,1
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,Private room,85,15,36,2017.8.17,0.33,1
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,2019.5.14,0.58,2
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,2019.6.20,1.42,3
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,2019.7.3,2.35,1
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,2019.6.25,0.66,1
30031,NYC artists loft with roof deck,129352,Sol,Brooklyn,Greenpoint,Private room,50,3,193,2019.5.20,1.86,1
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,2019.6.14,0.29,1
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,2019.5.26,0.45,3
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,Entire home/apt,115,29,26,2019.7.1,0.25,1
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,Private room,77,2,2,2019.1.1,0.02,1
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,2019.6.24,3.89,3
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2019.6.23,2.09,2
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,2019.7.1,0.77,3
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,Entire home/apt,250,29,3,2017.7.30,0.03,1
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,2018.6.11,0.1,1
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,2016.4.24,0.04,1
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,Private room,140,2,1,2011.9.19,0.01,1
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,2019.6.20,1.72,2
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,2019.7.2,0.11,1
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2019.6.17,2.19,1
33014,NYC Zen,143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,2019.6.17,0.28,1
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lul̼,Brooklyn,Williamsburg,Private room,80,3,200,2019.6.22,1.86,4
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,2019.6.29,1.05,5
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,Private room,156,4,79,2019.6.22,0.74,1
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,Private room,85,15,9,2013.5.10,0.09,1
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,Private room,125,3,155,2019.6.13,1.61,1
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,2018.8.27,0.05,1
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,Private room,69,2,34,2017.5.29,0.32,1
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,Entire home/apt,225,45,134,2019.3.31,1.24,1
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,2018.12.27,0.25,1
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,2019.6.26,1.16,2
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,2018.12.31,0.27,1
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,2019.6.8,2.6,2
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,202,2019.5.28,1.86,2
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,Private room,79,30,28,2019.4.12,0.26,1
39704,"Private, Large & Sunny 1BR w/W&D",170510,Ren̩e,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2019.6.22,2.86,2
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,Private room,250,3,14,2011.4.25,0.13,1
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,Entire home/apt,250,3,4,2016.9.23,0.08,1
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,2019.7.6,2.17,1
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,Entire home/apt,80,3,2,2015.11.2,0.04,1
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,2019.6.24,3.47,3
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,2019.6.18,1.4,3
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,2019.6.13,1.66,1
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,Private room,50,2,47,2019.6.19,0.94,1
44096,Room with a View,190409,Waundell,Bronx,Highbridge,Private room,40,1,219,2019.7.4,2.04,3
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,2016.7.6,1.78,1
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,Private room,125,1,84,2019.6.23,0.78,4
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,2019.6.20,1.06,1
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room,110,2,213,2019.6.24,2,2
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,2019.6.1,0.8,1
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,2019.5.26,0.75,3
45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,Entire home/apt,150,26,38,2016.4.20,0.36,1
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,2018.12.17,1.79,1
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room,65,2,206,2019.6.30,1.92,2
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,2019.5.12,0.11,5
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,2019.5.14,1.18,2
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,2019.4.8,0.58,1
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,2019.6.5,0.5,1
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,2019.5.19,1.17,4
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,2019.6.24,0.48,3
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,Private room,75,3,199,2019.6.24,1.85,1
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,2012.9.3,0.29,1
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,Entire home/apt,125,3,3,2015.7.17,0.03,1
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,2019.6.26,0.38,1
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,2019.6.15,1.04,1
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,2019.6.22,1.43,3
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,Private room,130,14,0,,,2
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,Private room,83,1,285,2019.6.22,2.69,1
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,Private room,123,1,375,2019.6.18,3.52,1
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,Private room,55,2,52,2019.5.20,0.49,2
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,2019.7.1,1.01,1
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,2017.11.13,0.48,1
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,Entire home/apt,98,30,33,2015.5.9,0.31,5
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,Private room,140,7,6,2015.10.8,0.06,5
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,2019.4.27,0.38,5
54158,The Institute_eart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,2019.6.20,3.44,2
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,2014.1.7,0.09,1
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,Private room,200,30,0,,,1
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,2019.6.6,2.12,3
